,Country,GDP_USD_Billions
0,United States,26855
1,China,19374
2,Japan,4410
3,Germany,4309
4,India,3737
5,United Kingdom,3159
6,France,2923
7,Italy,2170
8,Canada,2090
9,Brazil,2081
10,Russia,2063
11,South Korea,1722
12,Australia,1708
13,Mexico,1663
14,Spain,1492
15,Indonesia,1392
16,Netherlands,1081
17,Saudi Arabia,1062
18,Turkey,1029
19,Switzerland,870
20,Taiwan,791
21,Poland,749
22,Argentina,641
23,Belgium,624
24,Sweden,599
25,Ireland,594
26,Thailand,574
27,Norway,554
28,Israel,539
29,Singapore,516
30,Austria,515
31,Nigeria,507
32,United Arab Emirates,499
33,Vietnam,449
34,Malaysia,447
35,Philippines,441
36,Bangladesh,421
37,Denmark,406
38,South Africa,399
39,Hong Kong,383
40,Egypt,378
41,Iran,368
42,Chile,359
43,Romania,349
44,Colombia,335
45,Czech Republic,330
46,Finland,302
47,Peru,268
48,Iraq,268
49,Portugal,268
50,New Zealand,252
51,Kazakhstan,246
52,Greece,239
53,Qatar,220
54,Algeria,206
55,Hungary,189
56,Kuwait,165
57,Ethiopia,156
58,Ukraine,149
59,Morocco,139
60,Slovakia,128
61,Ecuador,121
62,Dominican Republic,121
63,Puerto Rico,121
64,Kenya,118
65,Angola,118
66,Oman,105
67,Guatemala,102
68,Bulgaria,101
69,Venezuela,97
70,Uzbekistan,92
71,Luxembourg,87
72,Tanzania,85
73,Turkmenistan,83
74,Croatia,79
75,Lithuania,78
76,Costa Rica,78
77,Uruguay,77
78,Panama,77
79,Ivory Coast,77
80,Serbia,74
81,Belarus,74
82,Azerbaijan,70
83,DR Congo,69
84,Slovenia,68
85,Ghana,67
86,Myanmar,64
87,Jordan,52
88,Tunisia,50
89,Uganda,50
90,Cameroon,49
91,Latvia,47
92,Sudan,47
93,Libya,46
94,Bolivia,46
95,Bahrain,45
96,Paraguay,43
97,Nepal,42
98,Estonia,42
99,Macau,36
100,El Salvador,34
101,Honduras,33
102,Papua New Guinea,31
103,Senegal,31
104,Cyprus,31
105,Cambodia,31
106,Zimbabwe,30
107,Zambia,29
108,Iceland,29
109,Bosnia and Herzegovina,28
110,Trinidad and Tobago,28
111,Georgia,28
112,Haiti,27
113,Armenia,24
114,Guinea,23
115,Burkina Faso,21
116,Mali,21
117,Gabon,20
118,Albania,20
119,Mozambique,20
120,Palestine,19
121,Botswana,20
122,Yemen,20
123,Malta,19
124,Benin,19
125,Nicaragua,17
126,Jamaica,17
127,Mongolia,17
128,Niger,17
129,Guyana,16
130,Brunei,16
131,Madagascar,16
132,Moldova,16
133,North Macedonia,15
134,Equatorial Guinea,15
135,Mauritius,15
136,Bahamas,14
137,Laos,14
138,Namibia,13
139,Rwanda,13
140,Congo,13
141,Tajikistan,13
142,Kyrgyzstan,12
143,Chad,12
144,Malawi,11
145,Mauritania,11
146,Kosovo,10
147,Togo,9
148,Somalia,9
149,Montenegro,7
150,South Sudan,7
151,Maldives,7
152,Barbados,6
153,Fiji,5
154,Eswatini,5
155,Liberia,4
156,Djibouti,4
157,Andorra,4
158,Aruba,4
159,Sierra Leone,4
160,Suriname,3
161,Burundi,3
162,Belize,3
163,Central African Republic,3
164,Bhutan,3
165,Eritrea,3
166,Lesotho,3
167,Cape Verde,2
168,Gambia,2
169,Saint Lucia,2
170,East Timor,2
171,Seychelles,2
172,Guinea-Bissau,2
173,Antigua and Barbuda,2
174,San Marino,2
175,Solomon Islands,2
176,Comoros,1
177,Grenada,1
178,Vanuatu,1
179,Saint Kitts and Nevis,1
180,Saint Vincent and the Grenadines,1
181,Samoa,1
182,Dominica,1
183,São Tomé and Príncipe,1
184,Tonga,1
185,Micronesia,0
186,Marshall Islands,0
187,Palau,0
188,Kiribati,0
189,Nauru,0
190,Tuvalu,0
